SessionID,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self)
0196914a-6079-7582-8542-c639925dff1a,DDL Content,[Create Table] CHECK,SQL,5,5
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,ORGANIZATIONNODE.GETLEVEL,SQL,1,1
0196914a-6079-7582-8542-c639925dff1a,Query,TOP,SQL,1,0
0196914a-6079-7582-8542-c639925dff1a,Set Operator,UNION ALL,SQL,4,0
0196914a-6079-7582-8542-c639925dff1a,Data Type,INTEGER,SQL,4,0
0196914a-6079-7582-8542-c639925dff1a,Data Type,FLOAT,SQL,10,0
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,ISNULL,SQL,18,1
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,ERROR_NUMBER,SQL,3,3
0196914a-6079-7582-8542-c639925dff1a,Data Type,TIME,SQL,2,0
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,[DBO].[UDFTWODIGITZEROFILL],SQL,2,0
0196914a-6079-7582-8542-c639925dff1a,Query,GROUP BY,SQL,17,2
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,COUNT,SQL,10,3
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,DAY,SQL,2,0
0196914a-6079-7582-8542-c639925dff1a,Operator,OR,SQL,18,17
0196914a-6079-7582-8542-c639925dff1a,Data Type,SYSNAME,SQL,1,0
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,FORMAT,SQL,2,2
0196914a-6079-7582-8542-c639925dff1a,Data Type,SMALLINT,SQL,33,0
0196914a-6079-7582-8542-c639925dff1a,Data Type,[FLAG],SQL,11,0
0196914a-6079-7582-8542-c639925dff1a,Statement,SET @local_variable,SQL,23,3
0196914a-6079-7582-8542-c639925dff1a,Query,JOIN,SQL,8,0
0196914a-6079-7582-8542-c639925dff1a,DDL,CREATE TABLE,SQL,109,0
0196914a-6079-7582-8542-c639925dff1a,Set Operator,EXCEPT,SQL,161,32
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,[EMPLOYMENT].REF.VALUE,SQL,10,10
0196914a-6079-7582-8542-c639925dff1a,DDL,CREATE PROCEDURE,SQL,36,17
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,LEFT,SQL,2,0
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,S.[DEMOGRAPHICS].VALUE,SQL,10,0
0196914a-6079-7582-8542-c639925dff1a,Data Type,[SYSNAME],SQL,1,0
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,@@TRANCOUNT,SQL,1,0
0196914a-6079-7582-8542-c639925dff1a,Query,THEN,SQL,31,0
0196914a-6079-7582-8542-c639925dff1a,Common Clause,EXECUTE AS CLAUSE,SQL,4,0
0196914a-6079-7582-8542-c639925dff1a,Statement - Control of Flow,BEGIN...END,SQL,67,19
0196914a-6079-7582-8542-c639925dff1a,Data Type,DATETIME,SQL,160,0
0196914a-6079-7582-8542-c639925dff1a,Query,VALUES,SQL,10,7
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,[EDUCATION].REF.VALUE,SQL,12,12
0196914a-6079-7582-8542-c639925dff1a,Query,OPTION,SQL,4,0
0196914a-6079-7582-8542-c639925dff1a,Operator,IN,SQL,15,14
0196914a-6079-7582-8542-c639925dff1a,Functions & Expressions,[INSTRUCTIONS].VALUE,SQL,1,1
0196914a-6079-7582-8542-c639925dff1a,DDL,CREATE FUNCTION,SQL,23,1
