PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Purchasing],[Vendor],[Purchasing].[Vendor],N/A,N/A,[Flag],[Flag],1391,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Purchasing],[Vendor],[Purchasing].[Vendor],N/A,N/A,[Flag],[Flag],1390,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Person],[StateProvince],[Person].[StateProvince],N/A,N/A,[Flag],[Flag],1332,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Sales],[SalesOrderHeader],[Sales].[SalesOrderHeader],N/A,N/A,[OrderNumber],[OrderNumber],1151,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Sales],[SalesOrderHeader],[Sales].[SalesOrderHeader],N/A,N/A,[Flag],[Flag],1149,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Production],[ProductReview],[Production].[ProductReview],N/A,N/A,[Name],[Name],1043,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Production],[ProductProductPhoto],[Production].[ProductProductPhoto],N/A,N/A,[Flag],[Flag],1035,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Production],[Product],[Production].[Product],N/A,N/A,[Flag],[Flag],905,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Production],[Product],[Production].[Product],N/A,N/A,[Flag],[Flag],904,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Person],[PersonPhone],[Person].[PersonPhone],N/A,N/A,[Phone],[Phone],887,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Person],[Person],[Person].[Person],N/A,N/A,[Name],[Name],866,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Person],[Person],[Person].[Person],N/A,N/A,[Name],[Name],865,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Person],[Person],[Person].[Person],N/A,N/A,[Name],[Name],864,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[HumanResources],[Employee],[HumanResources].[Employee],N/A,N/A,[Flag],[Flag],789,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[HumanResources],[Employee],[HumanResources].[Employee],N/A,N/A,[Flag],[Flag],786,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_tables.sql,CREATE TABLE,N/A,[Sales],[Customer],[Sales].[Customer],N/A,[dbo],[ufnLeadingZeros],[dbo].[ufnLeadingZeros],734,TABLE COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,N/A,vw_SupplierPerformance,vw_SupplierPerformance,N/A,N/A,PurchaseOrders,PurchaseOrders,976,SELECT - FROM
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,N/A,vw_SupplierPerformance,vw_SupplierPerformance,N/A,dbo,PurchaseOrders,dbo.PurchaseOrders,867,SELECT - FROM
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,[Production],[vProductModelInstructions],[Production].[vProductModelInstructions],[MfgInstructions],ref,nodes,[MfgInstructions].ref.nodes,598,SELECT - JOIN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,[Production],[vProductModelInstructions],[Production].[vProductModelInstructions],[Steps],ref,value,[Steps].ref.value,592,SELECT - COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,[Production],[vProductModelInstructions],[Production].[vProductModelInstructions],[MfgInstructions],ref,value,[MfgInstructions].ref.value,591,SELECT - COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,[Production],[vProductModelInstructions],[Production].[vProductModelInstructions],[MfgInstructions],ref,value,[MfgInstructions].ref.value,590,SELECT - COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,[Production],[vProductModelInstructions],[Production].[vProductModelInstructions],[MfgInstructions],ref,value,[MfgInstructions].ref.value,589,SELECT - COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,[Production],[vProductModelInstructions],[Production].[vProductModelInstructions],[MfgInstructions],ref,value,[MfgInstructions].ref.value,588,SELECT - COLUMN
0196914a-6079-7582-8542-c639925dff1a,input_mssql_views.sql,CREATE VIEW,N/A,[Production],[vProductModelInstructions],[Production].[vProductModelInstructions],[MfgInstructions],ref,value,[MfgInstructions].ref.value,587,SELECT - COLUMN
